07-21-2026 19:04:50 RAM 1771/7546MB (lfb 195x4MB) SWAP 2405/8192MB (cached 103MB) CPU [36%@1728,14%@1728,18%@1728,16%@1728,4%@729,0%@729] GR3D_FREQ 0% cpu@51.312C/52.125C soc2@50.781C/51.093C soc0@51.656C/52.031C gpu@51.812C/52.562C tj@51.687C/52.562C soc1@51.562C/52.125C VDD_IN 6410mW/5514mW/6730mW VDD_CPU_GPU_CV 2160mW/1729mW/2480mW VDD_SOC 1480mW/1272mW/1520mW
07-21-2026 19:04:50 RAM 1772/7546MB (lfb 195x4MB) SWAP 2405/8192MB (cached 103MB) CPU [25%@1728,15%@1728,25%@1728,22%@1728,0%@729,4%@729] GR3D_FREQ 0% cpu@51.312C/52.125C soc2@50.593C/51.093C soc0@51.687C/52.031C gpu@52.031C/52.562C tj@52.031C/52.562C soc1@51.531C/52.125C VDD_IN 6249mW/5531mW/6730mW VDD_CPU_GPU_CV 2040mW/1736mW/2480mW VDD_SOC 1440mW/1276mW/1520mW
07-21-2026 19:04:51 RAM 1772/7546MB (lfb 195x4MB) SWAP 2405/8192MB (cached 103MB) CPU [31%@1728,14%@1728,20%@1728,16%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@51.562C/52.125C soc2@50.718C/51.093C soc0@51.468C/52.031C gpu@51.781C/52.562C tj@51.781C/52.562C soc1@51.593C/52.125C VDD_IN 6209mW/5547mW/6730mW VDD_CPU_GPU_CV 2000mW/1742mW/2480mW VDD_SOC 1440mW/1280mW/1520mW
07-21-2026 19:04:51 RAM 1773/7546MB (lfb 195x4MB) SWAP 2405/8192MB (cached 103MB) CPU [27%@1728,37%@1728,15%@1728,26%@1728,9%@729,5%@729] GR3D_FREQ 0% cpu@51.562C/52.125C soc2@50.75C/51.093C soc0@51.5C/52.031C gpu@51.812C/52.562C tj@51.812C/52.562C soc1@51.656C/52.125C VDD_IN 6209mW/5561mW/6730mW VDD_CPU_GPU_CV 2000mW/1748mW/2480mW VDD_SOC 1440mW/1284mW/1520mW
07-21-2026 19:04:51 RAM 1775/7546MB (lfb 195x4MB) SWAP 2405/8192MB (cached 103MB) CPU [23%@1728,40%@1728,15%@1728,39%@1728,4%@729,0%@729] GR3D_FREQ 0% cpu@51.562C/52.125C soc2@50.625C/51.093C soc0@51.468C/52.031C gpu@51.687C/52.562C tj@51.781C/52.562C soc1@51.781C/52.125C VDD_IN 6249mW/5576mW/6730mW VDD_CPU_GPU_CV 2040mW/1754mW/2480mW VDD_SOC 1440mW/1287mW/1520mW
07-21-2026 19:04:51 RAM 1774/7546MB (lfb 195x4MB) SWAP 2405/8192MB (cached 103MB) CPU [10%@729,45%@729,13%@729,10%@729,0%@1728,52%@1728] GR3D_FREQ 0% cpu@51.031C/52.125C soc2@50.593C/51.093C soc0@51.593C/52.031C gpu@52.125C/52.562C tj@52.125C/52.562C soc1@51.593C/52.125C VDD_IN 6089mW/5587mW/6730mW VDD_CPU_GPU_CV 2000mW/1759mW/2480mW VDD_SOC 1400mW/1289mW/1520mW
07-21-2026 19:04:51 RAM 1767/7546MB (lfb 195x4MB) SWAP 2405/8192MB (cached 103MB) CPU [33%@1728,27%@1728,15%@1728,10%@1728,33%@729,52%@729] GR3D_FREQ 0% cpu@51.562C/52.125C soc2@50.656C/51.093C soc0@51.75C/52.031C gpu@51.812C/52.562C tj@51.812C/52.562C soc1@51.531C/52.125C VDD_IN 6209mW/5600mW/6730mW VDD_CPU_GPU_CV 2040mW/1765mW/2480mW VDD_SOC 1400mW/1292mW/1520mW
07-21-2026 19:04:52 RAM 1775/7546MB (lfb 195x4MB) SWAP 2405/8192MB (cached 103MB) CPU [10%@1728,45%@1728,45%@1728,15%@1728,5%@1344,58%@1344] GR3D_FREQ 19% cpu@51.437C/52.125C soc2@50.656C/51.093C soc0@51.406C/52.031C gpu@51.968C/52.562C tj@51.968C/52.562C soc1@51.468C/52.125C VDD_IN 6410mW/5617mW/6730mW VDD_CPU_GPU_CV 2200mW/1774mW/2480mW VDD_SOC 1440mW/1295mW/1520mW
07-21-2026 19:04:52 RAM 1799/7546MB (lfb 195x4MB) SWAP 2405/8192MB (cached 103MB) CPU [0%@1728,78%@1728,0%@1728,9%@1728,0%@1728,90%@1728] GR3D_FREQ 0% cpu@51.5C/52.125C soc2@50.625C/51.093C soc0@51.437C/52.031C gpu@51.656C/52.562C tj@51.75C/52.562C soc1@51.593C/52.125C VDD_IN 6690mW/5638mW/6730mW VDD_CPU_GPU_CV 2400mW/1786mW/2480mW VDD_SOC 1482mW/1298mW/1520mW
07-21-2026 19:04:52 RAM 1827/7546MB (lfb 195x4MB) SWAP 2405/8192MB (cached 103MB) CPU [65%@1728,15%@1728,5%@1728,4%@1728,0%@1728,100%@1728] GR3D_FREQ 0% cpu@51.75C/52.125C soc2@50.75C/51.093C soc0@51.531C/52.031C gpu@51.656C/52.562C tj@51.75C/52.562C soc1@51.531C/52.125C VDD_IN 6850mW/5662mW/6850mW VDD_CPU_GPU_CV 2520mW/1801mW/2520mW VDD_SOC 1520mW/1303mW/1520mW
07-21-2026 19:04:52 RAM 1827/7546MB (lfb 195x4MB) SWAP 2405/8192MB (cached 103MB) CPU [26%@1728,0%@1728,52%@1728,28%@1728,4%@1728,95%@1728] GR3D_FREQ 1% cpu@51.812C/52.125C soc2@50.812C/51.093C soc0@51.5C/52.031C gpu@52.062C/52.562C tj@52.062C/52.562C soc1@51.781C/52.125C VDD_IN 7011mW/5688mW/7011mW VDD_CPU_GPU_CV 2640mW/1817mW/2640mW VDD_SOC 1560mW/1308mW/1560mW
07-21-2026 19:04:53 RAM 1839/7546MB (lfb 195x4MB) SWAP 2405/8192MB (cached 103MB) CPU [5%@1190,72%@1190,30%@1190,10%@1190,0%@1728,100%@1728] GR3D_FREQ 0% cpu@51.437C/52.125C soc2@50.656C/51.093C soc0@51.531C/52.031C gpu@51.75C/52.562C tj@51.75C/52.562C soc1@51.531C/52.125C VDD_IN 7051mW/5714mW/7051mW VDD_CPU_GPU_CV 2680mW/1833mW/2680mW VDD_SOC 1560mW/1313mW/1560mW
07-21-2026 19:04:53 RAM 1856/7546MB (lfb 195x4MB) SWAP 2405/8192MB (cached 103MB) CPU [66%@1728,57%@1728,35%@1728,40%@1728,33%@1420,61%@1420] GR3D_FREQ 0% cpu@51.718C/52.125C soc2@50.781C/51.093C soc0@51.687C/52.031C gpu@51.593C/52.562C tj@51.718C/52.562C soc1@51.5C/52.125C VDD_IN 7011mW/5738mW/7051mW VDD_CPU_GPU_CV 2640mW/1848mW/2680mW VDD_SOC 1562mW/1317mW/1562mW
07-21-2026 19:04:53 RAM 1933/7546MB (lfb 195x4MB) SWAP 2405/8192MB (cached 103MB) CPU [90%@1728,5%@1728,0%@1728,5%@1728,0%@1113,50%@1113] GR3D_FREQ 0% cpu@51.718C/52.125C soc2@50.75C/51.093C soc0@51.625C/52.031C gpu@51.593C/52.562C tj@51.718C/52.562C soc1@51.531C/52.125C VDD_IN 6971mW/5760mW/7051mW VDD_CPU_GPU_CV 2560mW/1861mW/2680mW VDD_SOC 1562mW/1322mW/1562mW
