burst_mb,cpu_c,cpu_pct,gpu_c,mbps,t,tj_c
4,57.156,100.0,56.093,291.954670256445,6.363090456000009,57.312
4,57.5,100.0,56.093,303.4104142915738,6.378090876999977,57.5
4,57.531,100.0,56.093,281.90253076349944,6.3941300269998465,57.531
4,57.437,100.0,56.25,330.6406024587027,6.407961602999876,57.437
4,57.218,100.0,56.562,240.8866697682638,6.426498098000138,57.218
4,57.281,100.0,56.437,272.0139408446418,6.4431060369997795,57.281
4,57.187,100.0,56.156,233.51848660273288,6.462204696999834,57.187
4,57.156,100.0,56.281,329.80774955054113,6.476124116999927,57.156
4,57.343,100.0,56.25,318.91855970835894,6.490487617999861,57.343
4,57.218,100.0,56.5,324.353200449562,6.504550114999802,57.5
4,57.343,100.0,56.437,292.34800748330804,6.524102039999889,57.343
4,57.25,100.0,56.093,310.94173897492436,6.538771056999849,57.25
4,57.187,100.0,56.125,214.40687262470027,6.559502388000055,57.187
4,57.343,100.0,56.562,241.88827578285543,6.577934078999988,57.343
4,57.281,100.0,56.468,277.124044130376,6.594233429999804,57.281
4,57.593,100.0,56.156,238.06412609841718,6.612944364000214,57.593
4,57.468,100.0,56.062,297.79137739527994,6.6281640580000385,57.468
4,57.187,93.3,56.625,201.1629580024359,6.6501278850000745,57.187
4,57.062,100.0,56.218,313.4410115305434,6.664643070999773,57.062
4,57.25,100.0,56.093,279.74609646403474,6.680741454999861,57.25
4,57.125,100.0,56.375,258.4728296260488,6.698195347999899,57.125
4,57.281,100.0,56.218,307.24042281861693,6.713002770000003,57.281
4,57.25,100.0,56.625,312.0953016742068,6.727554277999843,57.25
4,57.437,100.0,56.125,217.0866260349575,6.748069280999971,57.437
4,57.125,100.0,56.375,248.3471074881582,6.766124700000091,57.125
4,57.125,100.0,56.312,305.293829100743,6.780966012000135,57.125
4,57.125,100.0,56.093,316.7099348946654,6.795380105999811,57.125
4,57.187,100.0,56.531,222.71694770031468,6.815359697000076,57.187
4,57.093,100.0,56.125,225.06709400022788,6.835137455000222,57.093
4,57.187,100.0,56.062,284.9813549141118,6.851023446999989,57.187
4,57.187,100.0,56.093,233.2770057111148,6.870113210999989,57.187
4,57.125,100.0,56.187,261.67173159077356,6.887308116999975,57.406
4,57.031,100.0,56.187,188.4564290561807,6.910710208000182,57.031
4,57.312,100.0,56.375,229.66919246433804,6.930096878999848,57.312
4,57.125,100.0,56.093,225.5147522702866,6.949878030000036,57.125
4,57.156,100.0,56.531,172.88527663384716,6.9753054150000935,57.156
4,57.562,100.0,56.375,202.33152574886708,6.997922962999837,57.281
4,57.218,100.0,56.125,240.49284961404712,7.016558116999931,57.218
4,57.437,100.0,56.687,265.2145881976042,7.033552279000105,57.437
4,57.25,100.0,56.437,223.5877702786215,7.054249305000212,57.25
4,57.25,100.0,56.062,206.71972778329427,7.078056595999897,57.25
4,57.062,100.0,56.312,255.9970781534656,7.095608380000158,57.062
4,57.031,100.0,56.25,241.09227462710433,7.114140201999817,57.093
4,57.218,100.0,56.531,223.42273199532448,7.134095566999804,57.218
4,57.406,100.0,56.125,224.32288173833737,7.154081716999826,57.406
4,57.156,100.0,56.156,193.67225244773496,7.176872168000045,57.156
4,57.156,100.0,56.218,174.3340011483638,7.202098266000121,57.156
4,57.187,100.0,56.468,213.6488056661399,7.222877855000206,57.187
4,57.093,100.0,56.343,294.871015228787,7.238313525000194,57.093
4,56.875,100.0,56.125,209.01914534364568,7.259603693999907,56.875
4,57.031,100.0,56.187,240.5475920805852,7.278174364999813,57.031
4,57.25,100.0,56.187,275.9443203949553,7.2945707760000005,57.531
4,57.218,100.0,56.093,187.3899711022847,7.318117032999908,57.218
4,57.187,100.0,56.093,287.7530897953504,7.333902987999863,57.187
4,57.25,100.0,56.187,254.5987280093761,7.351617755000007,57.25
4,57.0,93.3,56.187,192.31446243688643,7.3754982959999325,57.0
4,57.25,100.0,56.062,241.22316702048516,7.394108488999791,57.25
4,57.406,100.0,56.375,182.13731550527413,7.418238383999778,57.406
4,57.187,100.0,56.562,307.7634716422233,7.432973514999958,57.187
4,57.375,100.0,56.437,189.7977483671586,7.456349747999866,57.375
4,57.406,100.0,56.312,308.04049329350755,7.471098928000174,57.406
4,57.312,100.0,56.343,291.36730279231955,7.4866048089998,57.312
4,57.187,100.0,56.656,227.40304055956744,7.506188638999902,57.187
4,57.187,100.0,56.562,307.79165732719184,7.520958971999789,57.187
4,57.125,100.0,56.25,301.28524687718175,7.536003043000164,57.218
4,57.25,100.0,56.062,300.08223403052926,7.551080458999877,57.25
4,57.156,100.0,56.062,297.8753171827721,7.566251637999812,57.156
4,57.218,100.0,56.562,298.17686662749617,7.581388161000177,57.218
4,57.156,100.0,56.5,271.3775007322298,7.597991011999966,57.406
4,57.281,100.0,56.343,314.2578978813202,7.612403282999821,57.281
4,57.25,100.0,56.187,327.5502082185631,7.626308269000219,57.25
4,57.25,100.0,56.093,316.1545369529843,7.640678234000006,57.25
4,57.25,100.0,56.625,302.1423175889598,7.655674815000111,57.25
4,57.625,100.0,56.218,232.05405792557144,7.674868519000029,57.625
4,57.468,100.0,56.375,336.01046059330565,7.6884829020000325,57.468
4,57.5,100.0,56.062,243.94074519474694,7.706753657999798,57.5
4,57.125,100.0,56.312,229.19126646833345,7.726190858999871,57.125
4,57.187,88.9,56.562,315.15864840754836,7.740607642000214,57.187
