07-21-2026 21:07:43 RAM 1775/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 105MB) CPU [65%@729,5%@729,0%@729,9%@729,4%@729,9%@729] GR3D_FREQ 0% cpu@52.625C/52.75C soc2@51.843C/52C soc0@52.625C/52.937C gpu@52.656C/53.375C tj@52.843C/53.375C soc1@52.843C/53.187C VDD_IN 5368mW/5117mW/5368mW VDD_CPU_GPU_CV 1600mW/1501mW/1600mW VDD_SOC 1240mW/1203mW/1240mW
07-21-2026 21:07:44 RAM 1769/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 105MB) CPU [45%@729,15%@729,9%@729,5%@729,0%@729,4%@729] GR3D_FREQ 0% cpu@52.156C/52.75C soc2@51.593C/52C soc0@52.625C/52.937C gpu@53.093C/53.375C tj@52.718C/53.375C soc1@52.687C/53.187C VDD_IN 5528mW/5128mW/5528mW VDD_CPU_GPU_CV 1680mW/1506mW/1680mW VDD_SOC 1280mW/1206mW/1280mW
07-21-2026 21:07:44 RAM 1770/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 105MB) CPU [45%@1728,10%@1728,9%@1728,21%@1728,4%@729,0%@729] GR3D_FREQ 0% cpu@52.281C/52.75C soc2@51.656C/52C soc0@52.437C/52.937C gpu@52.687C/53.375C tj@52.718C/53.375C soc1@52.718C/53.187C VDD_IN 5568mW/5140mW/5568mW VDD_CPU_GPU_CV 1680mW/1510mW/1680mW VDD_SOC 1320mW/1209mW/1320mW
07-21-2026 21:07:44 RAM 1770/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 105MB) CPU [20%@729,5%@729,0%@729,10%@729,13%@729,0%@729] GR3D_FREQ 0% cpu@52.343C/52.75C soc2@51.75C/52C soc0@52.531C/52.937C gpu@52.656C/53.375C tj@52.781C/53.375C soc1@52.937C/53.187C VDD_IN 5689mW/5154mW/5689mW VDD_CPU_GPU_CV 1680mW/1515mW/1680mW VDD_SOC 1320mW/1212mW/1320mW
07-21-2026 21:07:44 RAM 1770/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 105MB) CPU [17%@729,9%@729,9%@729,18%@729,0%@729,9%@729] GR3D_FREQ 0% cpu@52.531C/52.75C soc2@51.625C/52C soc0@52.5C/52.937C gpu@52.781C/53.375C tj@53.062C/53.375C soc1@53.062C/53.187C VDD_IN 5649mW/5167mW/5689mW VDD_CPU_GPU_CV 1680mW/1519mW/1680mW VDD_SOC 1320mW/1214mW/1320mW
07-21-2026 21:07:44 RAM 1770/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 105MB) CPU [40%@729,14%@729,0%@729,4%@729,4%@729,13%@729] GR3D_FREQ 0% cpu@52.125C/52.75C soc2@51.625C/52C soc0@52.75C/52.937C gpu@52.656C/53.375C tj@52.843C/53.375C soc1@52.718C/53.187C VDD_IN 5528mW/5176mW/5689mW VDD_CPU_GPU_CV 1680mW/1523mW/1680mW VDD_SOC 1280mW/1216mW/1320mW
07-21-2026 21:07:45 RAM 1771/7546MB (lfb 137x4MB) SWAP 2549/8192MB (cached 105MB) CPU [35%@729,14%@729,0%@729,9%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@52.375C/52.75C soc2@51.625C/52C soc0@52.468C/52.937C gpu@52.687C/53.375C tj@52.812C/53.375C soc1@52.812C/53.187C VDD_IN 5488mW/5184mW/5689mW VDD_CPU_GPU_CV 1640mW/1526mW/1680mW VDD_SOC 1280mW/1218mW/1320mW
07-21-2026 21:07:45 RAM 1772/7546MB (lfb 136x4MB) SWAP 2549/8192MB (cached 105MB) CPU [10%@729,27%@729,9%@729,15%@729,5%@729,13%@729] GR3D_FREQ 0% cpu@52.093C/52.75C soc2@51.75C/52C soc0@52.562C/52.937C gpu@52.687C/53.375C tj@52.875C/53.375C soc1@52.875C/53.187C VDD_IN 5528mW/5192mW/5689mW VDD_CPU_GPU_CV 1680mW/1530mW/1680mW VDD_SOC 1280mW/1219mW/1320mW
07-21-2026 21:07:45 RAM 1770/7546MB (lfb 135x4MB) SWAP 2549/8192MB (cached 105MB) CPU [5%@1113,30%@1113,5%@1113,15%@1113,0%@729,5%@729] GR3D_FREQ 0% cpu@52.25C/52.75C soc2@51.656C/52C soc0@52.625C/52.937C gpu@52.718C/53.375C tj@52.718C/53.375C soc1@52.718C/53.187C VDD_IN 5528mW/5200mW/5689mW VDD_CPU_GPU_CV 1680mW/1533mW/1680mW VDD_SOC 1280mW/1220mW/1320mW
07-21-2026 21:07:45 RAM 1778/7546MB (lfb 135x4MB) SWAP 2549/8192MB (cached 106MB) CPU [9%@729,4%@729,9%@729,28%@729,5%@729,4%@729] GR3D_FREQ 0% cpu@52.375C/52.75C soc2@51.656C/52C soc0@52.468C/52.937C gpu@52.843C/53.375C tj@52.843C/53.375C soc1@52.718C/53.187C VDD_IN 5729mW/5212mW/5729mW VDD_CPU_GPU_CV 1720mW/1537mW/1720mW VDD_SOC 1360mW/1224mW/1360mW
