07-21-2026 18:55:39 RAM 1839/7546MB (lfb 188x4MB) SWAP 2314/8192MB (cached 169MB) CPU [14%@729,4%@729,0%@729,13%@729,45%@1113,23%@1113] GR3D_FREQ 0% cpu@50.218C/50.406C soc2@49.437C/49.812C soc0@50.625C/50.812C gpu@50.718C/51.156C tj@50.718C/51.156C soc1@50.406C/50.906C VDD_IN 6129mW/5268mW/6129mW VDD_CPU_GPU_CV 1800mW/1538mW/1800mW VDD_SOC 1482mW/1254mW/1482mW
07-21-2026 18:55:39 RAM 1839/7546MB (lfb 189x4MB) SWAP 2314/8192MB (cached 169MB) CPU [5%@729,5%@729,0%@729,0%@729,66%@1113,5%@1113] GR3D_FREQ 0% cpu@50.312C/50.406C soc2@49.5C/49.812C soc0@50.468C/50.812C gpu@50.593C/51.156C tj@50.625C/51.156C soc1@50.625C/50.906C VDD_IN 6169mW/5288mW/6169mW VDD_CPU_GPU_CV 1840mW/1545mW/1840mW VDD_SOC 1482mW/1260mW/1482mW
07-21-2026 18:55:39 RAM 1845/7546MB (lfb 189x4MB) SWAP 2314/8192MB (cached 169MB) CPU [28%@1728,9%@1728,9%@1728,15%@1728,5%@729,5%@729] GR3D_FREQ 0% cpu@50.25C/50.406C soc2@49.531C/49.812C soc0@50.468C/50.812C gpu@50.718C/51.156C tj@50.718C/51.156C soc1@50.687C/50.906C VDD_IN 6129mW/5307mW/6169mW VDD_CPU_GPU_CV 1800mW/1550mW/1840mW VDD_SOC 1482mW/1265mW/1482mW
07-21-2026 18:55:40 RAM 1841/7546MB (lfb 188x4MB) SWAP 2314/8192MB (cached 169MB) CPU [18%@1728,5%@1728,4%@1728,36%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.375C/50.406C soc2@49.5C/49.812C soc0@50.531C/50.812C gpu@50.468C/51.156C tj@50.75C/51.156C soc1@50.75C/50.906C VDD_IN 6089mW/5324mW/6169mW VDD_CPU_GPU_CV 1760mW/1555mW/1840mW VDD_SOC 1482mW/1269mW/1482mW
07-21-2026 18:55:40 RAM 1841/7546MB (lfb 170x4MB) SWAP 2314/8192MB (cached 169MB) CPU [31%@1113,9%@1113,9%@1113,19%@1113,5%@729,4%@729] GR3D_FREQ 0% cpu@50.062C/50.406C soc2@49.562C/49.812C soc0@50.687C/50.812C gpu@50.468C/51.156C tj@50.687C/51.156C soc1@50.437C/50.906C VDD_IN 6129mW/5341mW/6169mW VDD_CPU_GPU_CV 1800mW/1560mW/1840mW VDD_SOC 1482mW/1274mW/1482mW
07-21-2026 18:55:40 RAM 1844/7546MB (lfb 148x4MB) SWAP 2314/8192MB (cached 169MB) CPU [9%@1113,0%@1113,5%@1113,31%@1113,0%@729,0%@729] GR3D_FREQ 0% cpu@50.125C/50.406C soc2@49.5C/49.812C soc0@50.406C/50.812C gpu@50.5C/51.156C tj@50.5C/51.156C soc1@50.375C/50.906C VDD_IN 6089mW/5357mW/6169mW VDD_CPU_GPU_CV 1760mW/1564mW/1840mW VDD_SOC 1482mW/1278mW/1482mW
07-21-2026 18:55:40 RAM 1844/7546MB (lfb 124x4MB) SWAP 2314/8192MB (cached 169MB) CPU [20%@1728,9%@1728,0%@1728,28%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.343C/50.406C soc2@49.625C/49.812C soc0@50.406C/50.812C gpu@50.937C/51.156C tj@50.937C/51.156C soc1@50.5C/50.906C VDD_IN 6089mW/5372mW/6169mW VDD_CPU_GPU_CV 1760mW/1568mW/1840mW VDD_SOC 1482mW/1282mW/1482mW
07-21-2026 18:55:40 RAM 1845/7546MB (lfb 100x4MB) SWAP 2314/8192MB (cached 169MB) CPU [17%@1728,14%@1728,4%@1728,38%@1728,4%@729,0%@729] GR3D_FREQ 0% cpu@50.406C/50.406C soc2@49.5C/49.812C soc0@50.5C/50.812C gpu@50.593C/51.156C tj@50.593C/51.156C soc1@50.593C/50.906C VDD_IN 6089mW/5386mW/6169mW VDD_CPU_GPU_CV 1760mW/1572mW/1840mW VDD_SOC 1482mW/1286mW/1482mW
07-21-2026 18:55:41 RAM 1845/7546MB (lfb 78x4MB) SWAP 2314/8192MB (cached 169MB) CPU [9%@1728,4%@1728,5%@1728,31%@1113,4%@729,4%@729] GR3D_FREQ 0% cpu@50.031C/50.406C soc2@49.593C/49.812C soc0@50.562C/50.812C gpu@50.781C/51.156C tj@50.781C/51.156C soc1@50.343C/50.906C VDD_IN 6049mW/5399mW/6169mW VDD_CPU_GPU_CV 1760mW/1576mW/1840mW VDD_SOC 1482mW/1290mW/1482mW
07-21-2026 18:55:41 RAM 1843/7546MB (lfb 66x4MB) SWAP 2314/8192MB (cached 169MB) CPU [10%@806,9%@806,4%@806,40%@806,0%@729,0%@729] GR3D_FREQ 7% cpu@50.437C/50.437C soc2@49.531C/49.812C soc0@50.468C/50.812C gpu@50.562C/51.156C tj@50.562C/51.156C soc1@50.562C/50.906C VDD_IN 6129mW/5413mW/6169mW VDD_CPU_GPU_CV 1800mW/1580mW/1840mW VDD_SOC 1482mW/1294mW/1482mW
07-21-2026 18:55:41 RAM 1843/7546MB (lfb 66x4MB) SWAP 2314/8192MB (cached 169MB) CPU [25%@1728,5%@1728,4%@1728,28%@1728,0%@729,0%@729] GR3D_FREQ 0% cpu@50.343C/50.437C soc2@49.5C/49.812C soc0@50.531C/50.812C gpu@50.5C/51.156C tj@50.687C/51.156C soc1@50.687C/50.906C VDD_IN 5969mW/5423mW/6169mW VDD_CPU_GPU_CV 1760mW/1583mW/1840mW VDD_SOC 1442mW/1297mW/1482mW
07-21-2026 18:55:41 RAM 1847/7546MB (lfb 66x4MB) SWAP 2314/8192MB (cached 169MB) CPU [35%@1728,19%@1728,4%@1728,4%@1728,4%@729,0%@729] GR3D_FREQ 0% cpu@50.093C/50.437C soc2@49.531C/49.812C soc0@50.562C/50.812C gpu@50.437C/51.156C tj@50.562C/51.156C soc1@50.343C/50.906C VDD_IN 6009mW/5434mW/6169mW VDD_CPU_GPU_CV 1760mW/1587mW/1840mW VDD_SOC 1482mW/1300mW/1482mW
07-21-2026 18:55:41 RAM 1845/7546MB (lfb 66x4MB) SWAP 2314/8192MB (cached 169MB) CPU [22%@1728,26%@1728,5%@1728,0%@1728,4%@729,0%@729] GR3D_FREQ 0% cpu@50.156C/50.437C soc2@49.531C/49.812C soc0@50.593C/50.812C gpu@50.812C/51.156C tj@50.812C/51.156C soc1@50.375C/50.906C VDD_IN 6049mW/5445mW/6169mW VDD_CPU_GPU_CV 1760mW/1590mW/1840mW VDD_SOC 1482mW/1303mW/1482mW
